,Ticker
509,DRI
510,FULT
511,CBRE
512,CHTR
513,ASAN
514,TRN
515,VICI
516,VSH
517,TGNA
518,SITC
519,XPRO
520,PPG
521,HALO
522,MRVL
523,CE
524,WHD
525,TJX
526,LNTH
527,HOLX
528,MARA
529,HON
530,CATY
531,PECO
532,TER
533,OII
534,GD
535,STZ
536,NOW
537,PH
538,TEL
539,BBWI
540,KIM
541,BHVN
542,DLTR
543,LLY
544,ROK
545,POOL
546,ALE
547,ABR
548,LEN
549,ASTS
550,KAI
551,LTH
552,SLVM
553,WK
554,RELY
555,PGR
556,BDC
557,ESRT
558,GOOG
559,PRU
560,CVS
561,SJM
562,TPH
563,ALLE
564,FBP
565,ALRM
566,MDB
567,ADI
568,RNA
569,AOS
570,MIR
571,RIOT
572,DPZ
573,VC
574,RKLB
575,ALIT
576,TYL
577,CME
578,COF
579,PNW
580,CFG
581,AZN
582,LVS
583,CGON
584,PAGS
585,TMHC
586,UNF
587,AMT
588,MCY
589,MTX
590,ANET
591,AAL
592,MSCI
593,ATO
594,PSA
595,RIG
596,TDY
597,BUR
598,NOC
599,CRWD
600,PI
601,TMO
602,MCD
603,BTU
604,CEG
605,CENT
606,MCO
607,MQ
608,EG
609,CXM
610,KKR
611,HUM
612,CNP
613,AGL
614,KO
615,UCB
616,AKAM
617,BBIO
618,RMD
619,INTC
620,ESS
621,ROAD
622,ICUI
623,PFE
624,LAUR
625,WMB
626,DECK
627,ETSY
628,AIT
629,DBRG
630,CMS
631,KTOS
632,ANF
633,ESNT
634,HPQ
635,NI
636,PLUS
637,VCEL
638,AROC
639,FDX
640,HWKN
641,TEX
642,FLYW
643,CPT
644,MU
645,CPK
646,ZTS
647,LYB
648,NYCB
649,INDB
650,DFH
651,MOH
652,TECH
653,SNA
654,^IXIC
655,ACGL
656,ESE
657,FUL
658,CPAY
659,DVA
660,BCO
661,LXP
662,FCFS
663,ARCH
664,ADBE
665,OSCR
666,SHOO
667,ALL
668,GM
669,WBD
670,LW
671,RVMD
672,LGIH
673,DASH
674,EXLS
675,GKOS
676,ACLS
677,HWC
678,MLI
679,VCTR
680,AXON
681,CCOI
682,ASGN
683,CAT
684,FFIV
685,HAL
686,AX
687,HII
688,LANC
689,RDN
690,SPG
691,STNE
692,HD
693,ISRG
694,JOBY
695,PAYC
696,PSMT
697,FOX
698,SPXC
699,PWR
700,ACT
701,MMSI
702,O
703,TENB
704,ARWR
705,POR
706,MOS
707,RXO
708,TXT
709,GBTG
710,NUVL
711,PTC
712,DNLI
713,EQIX
714,VZIO
715,CAG
716,REGN
717,CLX
718,PPBI
719,SLB
720,NEE
721,INCY
722,META
723,DHR
724,WERN
725,CWT
726,AVA
727,AMN
728,IQV
729,VAL
730,CBU
731,ALKS
732,TXN
733,AJG
734,CARG
735,NKE
736,JNJ
737,WSFS
738,AIZ
739,TDS
740,PTEN
741,CRK
742,SBRA
743,WELL
744,SYNA
745,NRG
746,AMAT
747,DAL
748,ENV
749,AEP
750,EQT
751,EIX
752,MAC
753,NE
754,WDFC
755,PFSI
756,MRNA
757,ZWS
758,EMN
759,APA
760,MGM
761,MET
762,SIGI
763,GATX
764,CMI
765,CCI
766,EVH
767,KDP
768,ARM
769,LH
770,MC
771,BFH
772,NDSN
773,PCG
774,SNEX
775,OPCH
776,FELE
777,PRGS
778,PYPL
779,OUT
780,TCBI
781,SWKS
782,EQR
783,MO
784,ENSG
785,SBAC
786,INTU
787,EBAY
788,BXMT
789,ROL
790,DVN
791,IT
792,SQSP
793,COR
794,WMT
795,ACN
796,CF
797,AUB
798,DXCM
799,FSLR
800,FI
801,CNO
802,ES
803,BCC
804,EMR
805,ETR
806,AON
807,BOX
808,UBER
809,SLAB
810,INSM
811,VSTO
812,YOU
813,MUR
814,MELI
815,KLIC
816,CBT
817,STR
818,WLY
819,NOG
820,HLT
821,HSY
822,TRGP
823,GPC
824,PM
825,NNI
826,TAP
827,GNRC
828,RRR
829,INVH
830,ALKT
831,MAR
832,LMT
833,MTCH
834,T
835,CWK
836,PLMR
837,OMC
838,GFF
839,ROST
840,GSAT
841,CDW
842,TXNM
843,GRMN
844,MMM
845,TSCO
846,MATX
847,HPE
848,ONB
849,ALB
850,ARE
851,ACLX
852,AZZ
853,APD
854,AMD
855,CSCO
856,INTA
857,VERX
858,ECL
859,HIMS
860,GILD
861,HCC
862,LCII
863,V
864,LDOS
865,VRTX
866,CDNS
867,LUV
868,SKYW
869,RSG
870,ALTR
871,ACA
872,BCPC
873,HP
874,KGS
875,LBRT
876,DTE
877,MKC
878,BKR
879,MPC
880,STEP
881,TRV
882,BG
883,PDD
884,BDX
885,UE
886,WYNN
887,ICFI
888,A
889,CMCSA
890,AIG
891,DGX
892,NXPI
893,CVBF
894,AVGO
895,BOOT
896,FITB
897,FFBC
898,ON
899,KEYS
900,C
901,DG
902,FOLD
903,KVUE
904,LYV
905,EPRT
906,FUN
907,GEN
908,BWA
909,BIIB
910,EXPE
911,HIG
912,CRDO
913,SNPS
914,CCL
915,SDRL
916,MMS
917,ORCL
918,GL
919,ABCB
920,HUBG
921,UHS
922,VZ
923,PEG
924,TGT
925,BR
926,FLR
927,PAYO
928,MYGN
929,NEM
930,COP
931,DEI
932,EVRG
933,FCX
934,IDXX
935,DORM
936,NSC
937,REZI
938,TMUS
939,AXNX
940,AVY
941,GFS
942,EW
943,BX
944,CWST
945,IESC
946,SANM
947,MNST
948,DIS
949,TDG
950,TTWO
951,BALL
952,^GSPC
953,VCYT
954,SSB
